"StartDevice","EndDevice"
"ams21-0100-0002-01sw","lon24-0100-0002-01sw"
"by4-0100-0001-01sw","icr02.by4"
"zrh20-0100-0002-01sw","fra21-0100-0002-01sw"
"cle02-0100-0001-01sw","yto20-0100-0001-01sw"
"cph31-0100-0001-01sw","ham30-0100-0001-01sw"
"ier02.bl32","icr02.bl7"
"ibr01.cbr21","ibr02.cbr21"
"ibr01.ber20","ibr01.mma01"
"cys04-0100-0003-01sw","lax31-0100-0001-01sw"
"ibr02.sto30","ibr02.sto31"
"icr02.sn8","icr02.cys06"
"ibr01.atl30","ibr02.atl30"
"ch2-0100-0001-01sw","cle02-0100-0001-01sw"
"cpq20-0100-0001-01sw","cpq20-0100-0002-01sw"
"icr01.bn6","bn1-96c-1a"
"ibr02.hkg20","icr01.hkg20"
"icr01.fra23","fra23-0100-0002-01sw"
"svg20-0100-0001-01sw","ams21-0100-0001-01sw"
"ibr01.dub08","icr01.dub08"
"ibr02.mia","ibr02.sao30"
"sao30-0100-0002-01sw","cpq02-0100-0002-01sw"
"ibr01.sin30","ibr01.tyo31"
"icr01.hkg20","ier01.hkg30"
"ibr01.ams30","ibr01.par30"
"ams06-0100-0004-01sw","ams21-0100-0002-01sw"
"ibr02.lax31","ibr02.phx10"
"ier02.maa30","icr02.maa20"
"ibr01.phx70","rwa04.phx70"
"icr02.ber20","ber20-0100-0002-01sw"
"atl30-0100-0001-01sw","bn6-0100-0001-01sw"
"ibr02.mrs20","ibr02.mrs21"
"ibr01.pus04","ibr01.pus20"
"icr01.lon24","ier01.lon32"
"atl31-0100-0002-01sw","sn6-0100-0002-01sw"
"ams30-0100-0001-01sw","lon22-0100-0001-01sw"
"ier02.mad30","rwa02.mad20"
"bl20-0100-0100-02sw","cle02-0100-0002-01sw"
"ibr01.osa20","ibr01.tyo31"
"dub07-0100-0002-01sw","lon22-0100-0002-01sw"
"phx10-0100-0002-01sw","phx70-0100-0002-01sw"
"ibr01.cph31","ibr01.ham30"
"fra21-0100-0001-01sw","fra30-0100-0001-01sw"
"cuswdm885p52a2","dm2-96c-1b"
"icr06.mwh01","mwh01-0100-0002-01sw"
"ter01.mad32","ter04.mad32"
"ibr02.dub07","ibr02.ork30"
"ibr02.gvx11","ibr02.gvx01"
"lax30-0100-0001-01sw","phx10-0100-0001-01sw"
"kul30-0100-0001-01sw","kul30-0100-0002-01sw"
"ams21-0100-0002-01sw","par21-0100-0002-01sw"
"gvx11-0100-0001-01sw","rwa01.gvx11"
"cys04-0100-0004-01sw","dsm05-0100-0004-01sw"
"lon22-0100-0002-01sw","ork30-0100-0001-02sw"
"icr04.mwh01","ier06.stb"
"ibr01.dub07","ibr02.dub07"
"icr02.mwh01","ier02.yvr30"
"ibr04.cys04","ibr04.dsm05"
"icr03.lon24","ibr01.lon24"
"cph31-0100-0001-01sw","mma01-0100-0001-01sw"
"ibr01.lax31","ibr01.tyo31"
"ier03.chg","ier04.chg"
"icr02.zrh21","zrh21-0100-0001-01sw"
"ibr01.cpq20","ibr01.gru30"
"ier03.lon04","icr01.lon22"
"lon24-0100-0001-01sw","lon24-0100-0002-01sw"
"icr06.bn6","bn6-0100-0002-01sw"
"ibr02.lon22","ibr02.par30"
"ier03.ams31","icr03.ams30"
"icr01.mwh01","ier05.stb"
"per30-0100-0002-01sw","syd23-0100-0002-01sw"
"lon24-0100-0001-01sw","lon24-0100-0002-01sw"
"ibr01.dub08","ibr01.lon24"
"bio70-0100-0002-01sw","par30-0100-0002-01sw"
"ibr01.cys04","ibr01.dsm05"
"jnb21-0100-0001-01sw","jnb21-0100-0002-01sw"
"lax31-0100-0002-01sw","phx70-0100-0002-01sw"
"icr01.ams21","ams21-0100-0001-01sw"
"lax31-0100-0002-01sw","phx70-0100-0002-01sw"
"ibr03.bom02","ibr01.mrs20"
"ams21-0100-0001-01sw","fra23-0100-0001-01sw"
"vie20-0100-0001-02sw","vie-0100-0001-04sw"
"ibr02.cle02","ibr02.cle30"
"icr04.par21","ibr01.par21"
"ibr01.ch2","ibr01.dsm05"
"ibr03.bl7","ibr03.bn6"
"osl20-0100-0001-01sw","osl22-0100-0001-01sw"
"ibr04.by4","ibr02.lax30"
"dsm05-0100-0001-01sw","sn1-0100-0003-01sw"
"sn6-0100-0001-01sw","dsm05-0100-0003-01sw"
"ibr02.maa01","icr01.maa01"
"icr04.ams21","ams21-0100-0001-01sw"
"ibr03.cys04","icr04.cys04"
"icr03.mwh01","ier05.stb"
"ibr02.ams30","ibr02.fra21"
"ibr01.jga20","rwa02.jga20"
"dsm05-0100-0003-01sw","sn6-0100-0001-01sw"
"ibr01.ams30","ibr01.fra21"
"ibr01.zqz22","rwa03.zqz22"
"ibr01.pus04","ibr01.sel20"
"icr03.sn1","ibr01.sn1"
"atl30-0100-0001-01sw","bn6-0100-0001-01sw"
"pdx30-0100-0001-01sw","tyo79-0100-0001-01sw"
